id,name,index,size,number,drawingno
29NG1102024,1,1, ,1,33NG39-03_1
29NG1101726,1,2, ,1,33NG39-03_1
2521838019,1,5,"3,5X9,5 UNI6954",1,33NG39-03_1
29NG1100559,1,1, ,1,33NG39-05_1
29NG1101923,1,2, ,1,33NG39-05_1
29NG1101743,1,3, ,1,33NG39-05_1
29NG1101742,1,4, ,1,33NG39-05_1
2519773007,1,5,DIN 6325 5 X 22,1,33NG39-05_1
29NG1101741,1,6, ,1,33NG39-05_1
0NG812,1,7, ,1,33NG39-05_1
2520504013,1,8,T.C.B UNI 5931-67-8.8 M6 X 50,1,33NG39-05_1
2520504016,1,9,T.C.B UNI 5931-67 8.8 M6 X 65,1,33NG39-05_1
2508103002,1,10,608-2RS1 (8X22X7),1,33NG39-05_1
2519780072,1,11,8X20,1,33NG39-05_1
2520504006,1,12,T.C.B UNI 5931-67-8.8 M6 X 20,1,33NG39-05_1
2520904105,1,13,S.T.B UNI 5923-67-X10CR13 M6 X 16,1,33NG39-05_1
2529405006,1,14, ,1,33NG39-05_1
2539914030,1,15, ,1,33NG39-05_1
0NG813,1,16, ,1,33NG39-05_1
2520503102,1,17,T.C.B UNI 5931-67-X10CR13 M5 X 12,1,33NG39-05_1
29NG1101406,1,18, ,1,33NG39-05_1
2520703003,1,19,T.S.B UNI 5933-67-10.9 M4X14,1,33NG39-05_1
2520703101,1,20,T.S.B UNI 5933-67-X10CR13 M4 X 10,1,33NG39-05_1
2520902101,1,21,S.T.B UNI 5923-67-X10CR13 M4 X 5,1,33NG39-05_1
2513602026,1,22,"SILVENT TIPO MJ6 ""A&P""",1,33NG39-05_1
2520504021,1,23,T.C.B UNI 5931-67-8.8 M6 X 100,1,33NG39-05_1
29NG1101605,1,24, ,1,33NG39-05_1
2520902102,1,25,S.T.B UNI 5923-67X10CR13 M4X6,1,33NG39-05_1
29NG1101606,1,26, ,1,33NG39-05_1
29NG1101740,1,27, ,1,33NG39-05_1
29NG1100531,1,1, ,1,33NG39-07_1
0NG5867,1,2, ,1,33NG39-07_1
29NG1100534,1,3, ,1,33NG39-07_1
29NG1100163,1,4, ,1,33NG39-07_1
2519771004,1,5,CILINDRICA DIN 6325 3 X 16,1,33NG39-07_1
29NG1100525,1,6, ,1,33NG39-07_1
2519771004,1,7,CILINDRICA DIN 6325 3 X 16,1,33NG39-07_1
29NG1100524,1,8, ,1,33NG39-07_1
2519771004,1,9,CILINDRICA DIN 6325 3 X 16,1,33NG39-07_1
29NG1100671,1,10, ,1,33NG39-07_1
0NG6902,1,11, ,1,33NG39-07_1
29NG1100538,1,12, ,1,33NG39-07_1
29NG1100539,1,13, ,1,33NG39-07_1
2508180001,1,14,624-2Z (4X13X5),1,33NG39-07_1
2520502003,1,15,T.C.B UNI 5931-67-8.8 M4 X 10,1,33NG39-07_1
2520605104,1,16,T.S UNI 6109     10CR13 M4 X 10,1,33NG39-07_1
0NG9875,1,17, ,1,33NG39-07_1
2520505004,1,18,T.C.B UNI 5931-67-8.8 M8 X 20,1,33NG39-07_1
2520505006,1,19,T.C.B UNI 5931-67-8.8 M8 X 25,1,33NG39-07_1
2519771004,1,20,CILINDRICA DIN 6325 3 X 16,1,33NG39-07_1
0NG9454,1,21, ,1,33NG39-07_1
0NG6902,1,22, ,1,33NG39-07_1
2520603108,1,23,T.S UNI 6109     10CR13 M3 X 16,1,33NG39-07_1
2520605102,1,24,T.S UNI 6109     X10CR13 M4 X 8,1,33NG39-07_1
2519772003,1,25,VICTORIA DIN 6325 4 X 14,1,33NG39-07_1
29NG1100633,1,1, ,1,33NG39-09_1
2520503003,1,2,T.C.B UNI 5931-67-8.8 M5 X 14,1,33NG39-09_1
29NG1100529,1,3, ,1,33NG39-09_1
2520503003,1,4,T.C.B UNI 5931-67-8.8 M5 X 14,1,33NG39-09_1
29NG1100528,1,5, ,1,33NG39-09_1
29NG1100527,1,6, ,1,33NG39-09_1
29NG1100526,1,7, ,1,33NG39-09_1
29NG1100532,1,8, ,1,33NG39-09_1
2520503003,1,9,T.C.B UNI 5931-67-8.8 M5 X 14,1,33NG39-09_1
2520606101,1,10,T.S UNI 6109     10CR13 M5 X 8,1,33NG39-09_1
29NG1100516,1,11, ,1,33NG39-09_1
2520605102,1,12,T.S UNI 6109     X10CR13 M4 X 8,1,33NG39-09_1
29NG1100536,1,13, ,1,33NG39-09_1
29NG1100540,1,14, ,1,33NG39-09_1
2520605101,1,15,T.S UNI 6109     X10CR13 M4 X 12,1,33NG39-09_1
29NG1100634,1,16, ,1,33NG39-09_1
29NG1100541,1,17, ,1,33NG39-09_1
2520605101,1,18,T.S UNI 6109     X10CR13 M4 X 12,1,33NG39-09_1
2510227021,1,1,CON MOLLETTA N.26(CAT.136),1,33NG39-102_1
2519778005,1,2,DIN 6325 10 X 35,1,33NG39-102_1
2520503001,1,3,T.C.B UNI 5931-67-8.8 M5 X 10,1,33NG39-102_1
2520503004,1,4,T.C.B UNI 5931-67-8.8 M5 X 16,1,33NG39-102_1
2520503104,1,5,T.C.B UNI 5931-67-X10CR13 M5 X 16,1,33NG39-102_1
0NG1199,1,6, ,1,33NG39-102_1
0NG1240,1,7, ,1,33NG39-102_1
0NG3675,1,8, ,1,33NG39-102_1
29NG1100720,1,9, ,1,33NG39-102_1
29NG1100717,1,10, ,1,33NG39-102_1
29NG1101397,1,11, ,1,33NG39-102_1
29NG1101398,1,12, ,1,33NG39-102_1
29NG1101796,1,13, ,1,33NG39-102_1
2510227021,1,1,CON MOLLETTA N.26(CAT.136),1,33NG39-104_1
2519778005,1,2,DIN 6325 10 X 35,1,33NG39-104_1
2520503001,1,3,T.C.B UNI 5931-67-8.8 M5 X 10,1,33NG39-104_1
2520503004,1,4,T.C.B UNI 5931-67-8.8 M5 X 16,1,33NG39-104_1
0NG1199,1,5, ,1,33NG39-104_1
0NG1240,1,6, ,1,33NG39-104_1
0NG3675,1,7, ,1,33NG39-104_1
29NG1100715,1,8, ,1,33NG39-104_1
29NG1100717,1,9, ,1,33NG39-104_1
29NG1101395,1,10, ,1,33NG39-104_1
29NG1101396,1,11, ,1,33NG39-104_1
2520506006,1,1,T.C.B UNI 5931-67-8.8 M10 X 25,1,33NG39-108_1
29NG1101459,1,2, ,1,33NG39-108_1
0NG10905,1,3, ,1,33NG39-108_1
29NG1101458,1,4, ,1,33NG39-108_1
0NG10904,1,5, ,1,33NG39-108_1
0NG10906,1,6, ,1,33NG39-108_1
2513916170,1,1,"""L""31990409 TUBO D.4-M3",1,33NG39-110_1
2519601103,1,2,"UNI 6592 X10CR13 3,2 X 7 X 0,5",1,33NG39-110_1
2520501003,1,3,T.C.B UNI 5931-67-8.8 M3 X 8,1,33NG39-110_1
