,state/region,ages,year,population,state
0,AL,under18,2012,1117489.0,Alabama
1,AL,total,2012,4817528.0,Alabama
2,AL,under18,2010,1130966.0,Alabama
3,AL,total,2010,4785570.0,Alabama
4,AL,under18,2011,1125763.0,Alabama
5,AL,total,2011,4801627.0,Alabama
6,AL,total,2009,4757938.0,Alabama
7,AL,under18,2009,1134192.0,Alabama
8,AL,under18,2013,1111481.0,Alabama
9,AL,total,2013,4833722.0,Alabama
10,AL,total,2007,4672840.0,Alabama
11,AL,under18,2007,1132296.0,Alabama
12,AL,total,2008,4718206.0,Alabama
13,AL,under18,2008,1134927.0,Alabama
14,AL,total,2005,4569805.0,Alabama
15,AL,under18,2005,1117229.0,Alabama
16,AL,total,2006,4628981.0,Alabama
17,AL,under18,2006,1126798.0,Alabama
18,AL,total,2004,4530729.0,Alabama
19,AL,under18,2004,1113662.0,Alabama
20,AL,total,2003,4503491.0,Alabama
21,AL,under18,2003,1113083.0,Alabama
22,AL,total,2001,4467634.0,Alabama
23,AL,under18,2001,1120409.0,Alabama
24,AL,total,2002,4480089.0,Alabama
25,AL,under18,2002,1116590.0,Alabama
26,AL,under18,1999,1121287.0,Alabama
27,AL,total,1999,4430141.0,Alabama
28,AL,total,2000,4452173.0,Alabama
29,AL,under18,2000,1122273.0,Alabama
30,AL,total,1998,4404701.0,Alabama
31,AL,under18,1998,1118252.0,Alabama
32,AL,under18,1997,1122893.0,Alabama
33,AL,total,1997,4367935.0,Alabama
34,AL,total,1996,4331103.0,Alabama
35,AL,total,1995,4296800.0,Alabama
36,AL,under18,1995,1110553.0,Alabama
37,AL,under18,1996,1112092.0,Alabama
38,AL,total,1994,4260229.0,Alabama
39,AL,total,1993,4214202.0,Alabama
40,AL,under18,1993,1085606.0,Alabama
41,AL,under18,1994,1097180.0,Alabama
42,AL,under18,1992,1072873.0,Alabama
43,AL,total,1992,4154014.0,Alabama
44,AL,total,1991,4099156.0,Alabama
45,AL,under18,1991,1060794.0,Alabama
46,AL,under18,1990,1050041.0,Alabama
47,AL,total,1990,4050055.0,Alabama
48,AK,total,1990,553290.0,Alaska
49,AK,under18,1990,177502.0,Alaska
50,AK,total,1992,588736.0,Alaska
51,AK,under18,1991,182180.0,Alaska
52,AK,under18,1992,184878.0,Alaska
53,AK,total,1994,603308.0,Alaska
54,AK,under18,1994,187439.0,Alaska
55,AK,total,1991,570193.0,Alaska
56,AK,total,1993,599434.0,Alaska
57,AK,under18,1993,187190.0,Alaska
58,AK,total,1995,604412.0,Alaska
59,AK,under18,1995,184990.0,Alaska
60,AK,total,1996,608569.0,Alaska
61,AK,under18,1996,185360.0,Alaska
62,AK,under18,1997,188280.0,Alaska
63,AK,under18,1998,192636.0,Alaska
64,AK,total,1998,619933.0,Alaska
65,AK,total,1997,612968.0,Alaska
66,AK,under18,1999,191422.0,Alaska
67,AK,total,1999,624779.0,Alaska
68,AK,total,2000,627963.0,Alaska
69,AK,under18,2000,190615.0,Alaska
70,AK,total,2001,633714.0,Alaska
71,AK,under18,2001,188771.0,Alaska
72,AK,total,2002,642337.0,Alaska
73,AK,under18,2002,188482.0,Alaska
74,AK,total,2003,648414.0,Alaska
75,AK,under18,2003,186843.0,Alaska
76,AK,total,2004,659286.0,Alaska
77,AK,under18,2004,186335.0,Alaska
78,AK,total,2005,666946.0,Alaska
79,AK,under18,2005,185304.0,Alaska
80,AK,total,2006,675302.0,Alaska
81,AK,under18,2006,185580.0,Alaska
82,AK,total,2007,680300.0,Alaska
83,AK,under18,2007,184344.0,Alaska
84,AK,total,2008,687455.0,Alaska
85,AK,under18,2008,183124.0,Alaska
86,AK,under18,2013,188132.0,Alaska
87,AK,total,2013,735132.0,Alaska
88,AK,total,2009,698895.0,Alaska
89,AK,under18,2009,186351.0,Alaska
90,AK,under18,2010,187902.0,Alaska
91,AK,total,2010,713868.0,Alaska
92,AK,under18,2011,188329.0,Alaska
93,AK,total,2011,723375.0,Alaska
94,AK,under18,2012,188162.0,Alaska
95,AK,total,2012,730307.0,Alaska
96,AZ,under18,2012,1617149.0,Arizona
97,AZ,total,2012,6551149.0,Arizona
98,AZ,under18,2011,1616353.0,Arizona
99,AZ,total,2011,6468796.0,Arizona
100,AZ,under18,2010,1628563.0,Arizona
101,AZ,total,2010,6408790.0,Arizona
102,AZ,under18,2013,1616814.0,Arizona
103,AZ,total,2013,6626624.0,Arizona
104,AZ,total,2009,6343154.0,Arizona
105,AZ,under18,2009,1627343.0,Arizona
106,AZ,total,2007,6167681.0,Arizona
107,AZ,under18,2007,1607895.0,Arizona
108,AZ,total,2008,6280362.0,Arizona
109,AZ,under18,2008,1628651.0,Arizona
110,AZ,total,2005,5839077.0,Arizona
111,AZ,under18,2005,1529168.0,Arizona
112,AZ,total,2006,6029141.0,Arizona
113,AZ,under18,2006,1574867.0,Arizona
114,AZ,total,2004,5652404.0,Arizona
115,AZ,under18,2004,1484454.0,Arizona
116,AZ,total,2003,5510364.0,Arizona
117,AZ,under18,2003,1453671.0,Arizona
118,AZ,total,2001,5273477.0,Arizona
119,AZ,under18,2001,1399015.0,Arizona
120,AZ,total,2002,5396255.0,Arizona
121,AZ,under18,2002,1427938.0,Arizona
122,AZ,under18,1999,1332396.0,Arizona
123,AZ,total,1999,5023823.0,Arizona
124,AZ,total,2000,5160586.0,Arizona
125,AZ,under18,2000,1373414.0,Arizona
126,AZ,total,1998,4883342.0,Arizona
127,AZ,under18,1998,1285794.0,Arizona
128,AZ,total,1997,4736990.0,Arizona
129,AZ,under18,1997,1237159.0,Arizona
130,AZ,under18,1996,1215285.0,Arizona
131,AZ,total,1996,4586940.0,Arizona
132,AZ,total,1995,4432499.0,Arizona
133,AZ,under18,1995,1173391.0,Arizona
134,AZ,total,1993,4065440.0,Arizona
135,AZ,under18,1993,1094233.0,Arizona
136,AZ,under18,1994,1119857.0,Arizona
137,AZ,total,1994,4245089.0,Arizona
138,AZ,under18,1992,1055572.0,Arizona
139,AZ,under18,1991,1028285.0,Arizona
140,AZ,total,1991,3788576.0,Arizona
141,AZ,total,1992,3915740.0,Arizona
142,AZ,under18,1990,1006040.0,Arizona
143,AZ,total,1990,3684097.0,Arizona
144,AR,under18,1990,620933.0,Arkansas
145,AR,total,1990,2356586.0,Arkansas
146,AR,total,1991,2383144.0,Arkansas
147,AR,under18,1991,626212.0,Arkansas
148,AR,under18,1992,638269.0,Arkansas
149,AR,total,1992,2415984.0,Arkansas
150,AR,under18,1994,653842.0,Arkansas
151,AR,total,1994,2494019.0,Arkansas
152,AR,total,1993,2456303.0,Arkansas
153,AR,under18,1993,643474.0,Arkansas
154,AR,under18,1995,667671.0,Arkansas
155,AR,total,1995,2535399.0,Arkansas
156,AR,under18,1996,677912.0,Arkansas
157,AR,total,1996,2572109.0,Arkansas
158,AR,under18,1998,683637.0,Arkansas
159,AR,total,1997,2601091.0,Arkansas
160,AR,under18,1997,680203.0,Arkansas
161,AR,total,1998,2626289.0,Arkansas
162,AR,total,2000,2678588.0,Arkansas
163,AR,under18,2000,680378.0,Arkansas
164,AR,under18,1999,681940.0,Arkansas
165,AR,total,1999,2651860.0,Arkansas
166,AR,total,2002,2705927.0,Arkansas
167,AR,under18,2002,678798.0,Arkansas
168,AR,total,2001,2691571.0,Arkansas
169,AR,under18,2001,679606.0,Arkansas
170,AR,total,2004,2749686.0,Arkansas
171,AR,under18,2004,683166.0,Arkansas
172,AR,total,2003,2724816.0,Arkansas
173,AR,under18,2003,679579.0,Arkansas
174,AR,total,2006,2821761.0,Arkansas
175,AR,under18,2006,697842.0,Arkansas
176,AR,total,2005,2781097.0,Arkansas
177,AR,under18,2005,689787.0,Arkansas
178,AR,total,2008,2874554.0,Arkansas
179,AR,under18,2008,705725.0,Arkansas
180,AR,total,2007,2848650.0,Arkansas
181,AR,under18,2007,702737.0,Arkansas
182,AR,total,2009,2896843.0,Arkansas
183,AR,under18,2009,707886.0,Arkansas
184,AR,under18,2013,709866.0,Arkansas
185,AR,total,2013,2959373.0,Arkansas
186,AR,under18,2011,710576.0,Arkansas
187,AR,total,2011,2938506.0,Arkansas
188,AR,under18,2010,711947.0,Arkansas
189,AR,total,2010,2922280.0,Arkansas
190,AR,under18,2012,710471.0,Arkansas
191,AR,total,2012,2949828.0,Arkansas
192,CA,under18,2012,9209007.0,California
193,CA,total,2012,37999878.0,California
194,CA,under18,2011,9252336.0,California
195,CA,total,2011,37668681.0,California
196,CA,under18,2010,9284094.0,California
197,CA,total,2010,37333601.0,California
198,CA,under18,2013,9174877.0,California
199,CA,total,2013,38332521.0,California
200,CA,total,2009,36961229.0,California
201,CA,under18,2009,9294501.0,California
202,CA,total,2007,36250311.0,California
203,CA,under18,2007,9335620.0,California
204,CA,total,2008,36604337.0,California
205,CA,under18,2008,9321621.0,California
206,CA,total,2005,35827943.0,California
207,CA,under18,2005,9405565.0,California
208,CA,total,2006,36021202.0,California
209,CA,under18,2006,9370884.0,California
210,CA,total,2003,35253159.0,California
211,CA,under18,2003,9404594.0,California
212,CA,total,2004,35574576.0,California
